Speed,Steering,HR,Hour,Minute,Second,Millisecond,Flag
30,0,100,0,0,30,0,
30,0,100,0,0,30,100,
30,0,100,0,0,30,200,
30,0,100,0,0,30,300,
30,0,100,0,0,30,400,
30,0,100,0,0,30,500,
30,0,100,0,0,30,600,
30,0,100,0,0,30,700,
30,0,100,0,0,30,800,
30,0,100,0,0,30,900,
30,0,122,0,0,31,0,
30,0,122,0,0,31,100,
30,0,122,0,0,31,200,
30,0,122,0,0,31,300,
30,1,122,0,0,31,400,
30,3,110,0,0,31,500,
30,5,110,0,0,31,600,
30,7,110,0,0,31,700,
30,9,110,0,0,31,800,
30,11,110,0,0,31,900,
30,13,110,0,0,32,0,
30,15,110,0,0,32,100,
30,17,110,0,0,32,200,
30,19,110,0,0,32,300,
30,21,110,0,0,32,400,
30,23,110,0,0,32,500,
30,25,110,0,0,32,600,
30,27,110,0,0,32,700,
30,29,110,0,0,32,800,
30,31,110,0,0,32,900,
30,33,110,0,0,33,0,
30,35,110,0,0,33,100,
30,37,110,0,0,33,200,
30,39,110,0,0,33,300,
30,41,110,0,0,33,400,
30,43,110,0,0,33,500,
30,45,110,0,0,33,600,
30,47,110,0,0,33,700,
30,49,110,0,0,33,800,
30,51,110,0,0,33,900,
30,49,110,0,0,34,0,
30,47,110,0,0,34,100,
30,45,110,0,0,34,200,
30,43,110,0,0,34,300,
30,41,110,0,0,34,400,
30,39,110,0,0,34,500,
30,37,110,0,0,34,600,
30,35,110,0,0,34,700,
30,33,106,0,0,34,800,
30,31,106,0,0,34,900,
30,29,106,0,0,35,0,
30,27,106,0,0,35,100,
30,25,106,0,0,35,200,
30,23,106,0,0,35,300,
30,21,106,0,0,35,400,
30,19,106,0,0,35,500,
30,17,106,0,0,35,600,
30,15,106,0,0,35,700,
30,13,106,0,0,35,800,
30,11,106,0,0,35,900,
30,9,106,0,0,36,0,
30,7,106,0,0,36,100,
30,5,106,0,0,36,200,
30,3,106,0,0,36,300,
30,1,106,0,0,36,400,
30,0,106,0,0,36,500,
30,0,106,0,0,36,600,
30,0,106,0,0,36,700,
30,0,106,0,0,36,800,
30,0,106,0,0,36,900,
30,0,106,0,0,37,0,
30,0,106,0,0,37,100,
30,0,106,0,0,37,200,
30,0,106,0,0,37,300,
30,0,106,0,0,37,400,
30,0,106,0,0,37,500,
30,0,106,0,0,37,600,
30,0,106,0,0,37,700,
30,0,106,0,0,37,800,
30,0,106,0,0,37,900,
30,0,106,0,0,38,0,
30,0,106,0,0,38,100,
30,0,106,0,0,38,200,
30,0,106,0,0,38,300,
30,0,106,0,0,38,400,
30,0,106,0,0,38,500,
